ticker,FTV US Equity,FTV US Equity,FTV US Equity,FTV US Equity,FTV US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2017-08-09,55.8726,55.9061,55.9663,53.5588,49.161,DOWN,0
2017-08-10,54.794,55.6468,55.799,53.6103,49.232,UP,1
2017-08-11,54.8525,54.8692,55.5365,53.6539,49.3059,UP,1
2017-08-14,55.396,55.2706,55.3743,53.7014,49.3832,DOWN,0
2017-08-15,55.2873,55.3542,55.2405,53.7482,49.4611,UP,1
2017-08-16,55.3124,55.4462,55.1284,53.7976,49.5277,DOWN,0
2017-08-17,54.4846,55.0783,55.0665,53.8277,49.5867,DOWN,0
2017-08-18,54.3759,54.309,54.9712,53.8499,49.6475,UP,1
2017-08-21,54.702,54.3508,54.8324,53.8889,49.7107,UP,1
2017-08-22,55.0699,54.8441,54.7889,53.9458,49.7729,DOWN,0
2017-08-23,54.3759,54.8859,54.6016,53.9752,49.8311,DOWN,0
2017-08-24,54.2505,54.4511,54.5548,54.0075,49.8858,DOWN,0
2017-08-25,54.0916,54.3926,54.498,54.0351,49.9361,DOWN,0
2017-08-28,53.9243,54.309,54.3424,54.0424,49.9822,DOWN,0
2017-08-29,53.8993,53.732,54.1083,54.0369,50.0251,UP,1
2017-08-30,54.1836,53.8658,54.0698,54.0424,50.0728,UP,1
2017-08-31,54.3257,54.2254,54.0849,54.0524,50.1194,UP,1
2017-09-01,54.4344,54.5598,54.1535,54.0692,50.1653,DOWN,0
2017-09-05,54.426,54.3424,54.2538,54.0857,50.2098,DOWN,0
2017-09-06,54.125,54.7689,54.2989,54.0961,50.2526,UP,1
2017-09-07,54.8274,54.3006,54.4277,54.1329,50.2984,UP,1
2017-09-08,55.5883,54.794,54.6802,54.1675,50.3471,UP,1
2017-09-11,56.4579,56.0064,55.0849,54.2454,50.3979,UP,1
2017-09-12,56.7506,56.5332,55.5499,54.321,50.4483,UP,1
2017-09-13,57.4362,56.6335,56.2121,54.4107,50.5015,UP,1
2017-09-14,57.8543,57.1519,56.8175,54.504,50.5584,UP,1
2017-09-15,57.9965,58.5902,57.2991,54.6048,50.6172,UP,1
2017-09-18,58.7908,58.1052,57.7657,54.7128,50.6813,DOWN,0
2017-09-19,58.5985,58.7908,58.1353,54.8045,50.7477,UP,1
2017-09-20,58.6738,58.7156,58.3828,54.9082,50.8133,DOWN,0
2017-09-21,58.4731,58.6989,58.5065,54.9956,50.8803,UP,1
2017-09-22,58.5567,58.4146,58.6186,55.09,50.9473,DOWN,0
2017-09-25,58.5567,58.5985,58.5718,55.1814,51.0133,DOWN,0
2017-09-26,58.4062,58.5651,58.5333,55.2769,51.0809,UP,1
2017-09-27,58.7072,58.4062,58.54,55.385,51.1487,DOWN,0
2017-09-28,58.4647,58.5065,58.5383,55.4845,51.2153,UP,1
2017-09-29,59.1922,58.4396,58.6654,55.6064,51.2861,UP,1
2017-10-02,59.8277,59.3929,58.9196,55.7452,51.3584,DOWN,0
2017-10-03,59.7691,59.9865,59.1922,55.8821,51.4281,UP,1
2017-10-04,60.1287,59.7273,59.4765,56.03,51.4995,DOWN,0
2017-10-05,59.8444,60.2123,59.7524,56.187,51.569,DOWN,0
2017-10-06,59.8277,59.7524,59.8795,56.337,51.638,UP,1
2017-10-09,60.1203,60.0033,59.9381,56.4613,51.7123,UP,1
2017-10-10,60.1371,60.413,60.0116,56.5813,51.7869,UP,1
2017-10-11,60.4966,60.2541,60.0852,56.7009,51.8614,UP,1
2017-10-12,60.9481,60.6137,60.306,56.8115,51.9385,DOWN,0
2017-10-13,60.4966,61.1906,60.4398,56.9088,52.0163,DOWN,0
2017-10-16,60.2207,60.5719,60.4598,56.9899,52.0916,DOWN,0
2017-10-17,59.7775,60.2708,60.3879,57.0613,52.1662,UP,1
2017-10-18,59.8862,59.7859,60.2658,57.1399,52.241,DOWN,0
2017-10-19,59.4514,59.6855,59.9665,57.2115,52.3115,UP,1
2017-10-20,60.2123,59.7859,59.9096,57.3198,52.387,UP,1
2017-10-23,60.2792,60.2123,59.9213,57.4284,52.4632,UP,1
2017-10-24,61.2993,60.4632,60.2257,57.5464,52.545,DOWN,0
2017-10-25,60.597,60.9983,60.3678,57.6526,52.6231,UP,1
2017-10-26,61.4331,61.1237,60.7642,57.7751,52.7059,UP,1
2017-10-27,61.9599,60.3712,61.1137,57.9246,52.7913,DOWN,0
2017-10-30,60.5886,61.6672,61.1756,58.0488,52.8653,DOWN,0
2017-10-31,60.4214,60.714,61.0,58.1632,52.9411,UP,1
2017-11-01,60.9231,60.8144,61.0652,58.2803,53.0194,UP,1
2017-11-02,61.2993,60.9565,61.0384,58.4187,53.099,UP,1
2017-11-03,61.5753,61.291,60.9615,58.5652,53.1789,DOWN,0
2017-11-06,60.9231,61.4582,61.0284,58.7019,53.2573,UP,1
2017-11-07,61.4331,60.8729,61.2308,58.852,53.3358,DOWN,0
2017-11-08,60.8478,61.2157,61.2157,58.991,53.4094,DOWN,0
2017-11-09,60.7307,60.5802,61.102,59.122,53.4802,UP,1
2017-11-10,60.7475,60.4381,60.9364,59.2504,53.5501,DOWN,0
2017-11-13,60.7057,60.4214,60.893,59.3758,53.6219,UP,1
2017-11-14,60.7642,60.3963,60.7592,59.5026,53.6944,DOWN,0
2017-11-15,60.0785,60.6973,60.6053,59.6216,53.7643,UP,1
2017-11-16,60.5719,60.3628,60.5735,59.7365,53.8364,DOWN,0
2017-11-17,60.413,60.2792,60.5066,59.833,53.9042,UP,1
2017-11-20,60.8812,60.5217,60.5418,59.9215,53.9753,DOWN,0
2017-11-21,60.5802,60.9481,60.505,59.9981,54.0456,DOWN,0
2017-11-22,60.204,60.5217,60.5301,60.0534,54.1117,UP,1
