ticker,IRM US Equity,IRM US Equity,IRM US Equity,IRM US Equity,IRM US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2002-01-30,12.1959,12.1427,10.6469,12.084,11.4599,UP,1
2002-01-31,12.1998,12.1807,10.6612,12.1289,11.489,DOWN,0
2002-02-01,12.1769,12.1807,10.676,12.1663,11.5143,DOWN,0
2002-02-04,12.0627,12.1769,10.6901,12.1632,11.5357,DOWN,0
2002-02-05,11.7049,12.0285,10.7035,12.068,11.5517,DOWN,0
2002-02-06,11.4575,11.6097,10.716,11.9204,11.5592,DOWN,0
2002-02-07,11.408,11.3814,10.7273,11.762,11.5691,DOWN,0
2002-02-08,11.3357,11.3623,10.7384,11.5938,11.5781,UP,1
2002-02-11,11.7049,11.3357,10.7517,11.5222,11.5921,DOWN,0
2002-02-12,11.6288,11.6097,10.7656,11.507,11.6052,DOWN,0
2002-02-13,11.3737,11.7049,10.7775,11.4902,11.6129,UP,1
2002-02-14,11.3928,11.3699,10.7894,11.4872,11.6202,UP,1
2002-02-15,11.6554,11.4194,10.8026,11.5511,11.63,DOWN,0
2002-02-19,11.4575,11.6592,10.8146,11.5016,11.6302,UP,1
2002-02-20,11.5565,11.4956,10.8265,11.4872,11.63,DOWN,0
2002-02-21,11.4194,11.5336,10.8358,11.4963,11.6268,UP,1
2002-02-22,11.4841,11.4575,10.8436,11.5146,11.6286,UP,1
2002-02-25,11.6097,11.4841,10.8528,11.5054,11.6329,DOWN,0
2002-02-26,11.5945,11.6288,10.8614,11.5329,11.6387,UP,1
2002-02-27,11.8686,11.6097,10.8714,11.5953,11.6541,UP,1
2002-02-28,12.1693,11.8686,10.8828,11.7453,11.6767,DOWN,0
2002-03-01,11.8077,11.6097,10.8913,11.81,11.6901,UP,1
2002-03-04,12.0665,11.9333,10.9006,11.9013,11.7102,UP,1
2002-03-05,12.097,12.0665,10.9102,12.0018,11.7303,DOWN,0
2002-03-06,12.0856,12.097,10.9205,12.0452,11.749,DOWN,0
2002-03-07,12.0475,12.0856,10.9297,12.0208,11.7651,DOWN,0
2002-03-08,11.9447,12.0475,10.9387,12.0483,11.7809,DOWN,0
2002-03-11,11.7316,11.781,10.9458,11.9813,11.791,DOWN,0
2002-03-12,11.7049,11.7316,10.952,11.9028,11.8,DOWN,0
2002-03-13,11.5679,11.6478,10.958,11.7993,11.8076,DOWN,0
2002-03-14,11.5336,11.5526,10.964,11.6965,11.816,DOWN,0
2002-03-15,11.3776,11.5374,10.97,11.5831,11.819,DOWN,0
2002-03-18,11.3433,11.3737,10.9758,11.5054,11.82,UP,1
2002-03-19,11.6326,11.3699,10.9828,11.491,11.8233,UP,1
2002-03-20,11.7392,11.5565,10.9908,11.5252,11.8292,UP,1
2002-03-21,11.9447,12.0094,10.9991,11.6075,11.84,UP,1
2002-03-22,11.9561,12.0285,11.0067,11.7232,11.8361,DOWN,0
2002-03-25,11.6478,11.9067,11.0127,11.7841,11.8262,UP,1
2002-03-26,11.7544,11.7011,11.019,11.8084,11.8174,UP,1
2002-03-27,11.9714,11.7925,11.0266,11.8549,11.814,UP,1
2002-03-28,12.0741,12.0665,11.0348,11.8808,11.8107,DOWN,0
2002-04-01,11.9752,11.998,11.0417,11.8846,11.806,DOWN,0
2002-04-02,11.8229,11.9181,11.0477,11.9196,11.7958,DOWN,0
2002-04-03,11.743,11.8229,11.0539,11.9173,11.7871,DOWN,0
