ticker,FBHS US Equity,FBHS US Equity,FBHS US Equity,FBHS US Equity,FBHS US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2013-03-20,37.67,36.74,36.596,33.6252,27.7948,DOWN,0
2013-03-21,36.29,38.16,36.588,33.7266,27.8706,UP,1
2013-03-22,36.68,36.56,36.654,33.8292,27.9511,UP,1
2013-03-25,37.11,37.0,36.824,33.9464,28.0335,DOWN,0
2013-03-26,36.73,37.13,36.896,34.0506,28.1106,UP,1
2013-03-27,36.74,36.6,36.71,34.1654,28.1858,UP,1
2013-03-28,37.43,36.83,36.938,34.294,28.2613,DOWN,0
2013-04-01,36.23,37.34,36.848,34.4012,28.3334,DOWN,0
2013-04-02,35.68,36.5,36.562,34.4914,28.4017,DOWN,0
2013-04-03,34.58,35.71,36.132,34.5492,28.4676,DOWN,0
2013-04-04,34.25,34.59,35.634,34.5986,28.5309,UP,1
2013-04-05,34.43,33.76,35.034,34.6482,28.5932,UP,1
2013-04-08,35.15,34.56,34.818,34.7096,28.6545,DOWN,0
2013-04-09,35.09,35.31,34.7,34.7638,28.7139,UP,1
2013-04-10,35.56,35.12,34.896,34.8294,28.7779,UP,1
2013-04-11,36.18,35.61,35.282,34.8988,28.856,UP,1
2013-04-12,36.7,36.1,35.736,34.986,28.9372,DOWN,0
2013-04-15,34.45,36.54,35.596,35.0202,29.0087,UP,1
2013-04-16,35.48,34.86,35.674,35.0678,29.0828,DOWN,0
2013-04-17,34.79,35.04,35.52,35.115,29.151,UP,1
2013-04-18,35.06,34.9,35.296,35.169,29.2174,UP,1
2013-04-19,36.46,35.12,35.248,35.2422,29.2883,DOWN,0
2013-04-22,36.3,36.52,35.618,35.3032,29.353,UP,1
2013-04-23,36.71,36.68,35.864,35.3652,29.4194,DOWN,0
2013-04-24,36.24,36.73,36.154,35.419,29.4826,UP,1
2013-04-25,36.66,36.47,36.474,35.4602,29.551,UP,1
2013-04-26,36.76,36.72,36.534,35.503,29.6218,DOWN,0
