ticker,LMT US Equity,LMT US Equity,LMT US Equity,LMT US Equity,LMT US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2001-05-08,36.15,35.83,33.2548,36.196,36.4076,UP,1
2001-05-09,36.3,36.16,33.3035,36.086,36.3736,DOWN,0
2001-05-10,36.0,36.3,33.3476,36.09,36.3444,UP,1
2001-05-11,36.62,36.5,33.3932,36.214,36.3422,UP,1
2001-05-14,37.48,36.95,33.4446,36.51,36.3258,DOWN,0
2001-05-15,37.32,37.45,33.4912,36.744,36.3034,UP,1
2001-05-16,37.8,37.1,33.5396,37.044,36.3118,UP,1
2001-05-17,38.3,37.8,33.5855,37.504,36.2968,UP,1
2001-05-18,38.35,38.8,33.6335,37.85,36.2918,UP,1
2001-05-21,39.09,38.36,33.6871,38.172,36.3024,UP,1
2001-05-22,39.25,39.1,33.7393,38.558,36.3076,DOWN,0
2001-05-23,39.0,39.5,33.7871,38.798,36.3208,DOWN,0
2001-05-24,38.85,39.0,33.8354,38.908,36.345,DOWN,0
2001-05-25,38.0,38.7,33.8779,38.838,36.355,UP,1
2001-05-29,38.27,38.25,33.9211,38.674,36.3804,UP,1
2001-05-30,39.35,38.45,33.9697,38.694,36.4434,DOWN,0
2001-05-31,38.29,38.8,34.0149,38.552,36.5098,UP,1
2001-06-01,38.56,38.45,34.0637,38.494,36.5918,DOWN,0
2001-06-04,38.35,38.57,34.1154,38.564,36.6788,UP,1
2001-06-05,38.7,38.1,34.1705,38.65,36.7548,DOWN,0
2001-06-06,38.39,38.75,34.2227,38.458,36.8004,DOWN,0
2001-06-07,37.97,38.35,34.2704,38.394,36.8316,DOWN,0
2001-06-08,37.37,37.98,34.3113,38.156,36.8776,UP,1
2001-06-11,37.76,37.38,34.3582,38.038,36.913,DOWN,0
2001-06-12,37.73,37.6,34.4047,37.844,36.9546,DOWN,0
2001-06-13,37.51,37.75,34.4488,37.668,36.9858,DOWN,0
2001-06-14,36.17,37.48,34.4881,37.308,36.9912,UP,1
2001-06-15,37.17,35.5,34.5361,37.268,37.0246,DOWN,0
2001-06-18,36.8,37.26,34.5811,37.076,37.0416,DOWN,0
2001-06-19,36.75,37.05,34.623,36.88,37.0566,UP,1
2001-06-20,37.19,37.0,34.6686,36.816,37.0844,DOWN,0
2001-06-21,36.72,37.0,34.7109,36.926,37.0906,DOWN,0
2001-06-22,35.69,36.85,34.745,36.63,37.0764,UP,1
