ticker,IDXX US Equity,IDXX US Equity,IDXX US Equity,IDXX US Equity,IDXX US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2001-04-10,5.4075,5.335,5.8793,5.279,5.5847,DOWN,0
2001-04-11,5.1525,5.375,5.8762,5.3001,5.5759,UP,1
2001-04-12,5.515,5.2125,5.8756,5.325,5.5752,UP,1
2001-04-16,5.7775,5.3875,5.877,5.4305,5.5767,UP,1
2001-04-17,6.05,5.6375,5.8798,5.5805,5.5852,UP,1
2001-04-18,6.385,6.0375,5.8831,5.776,5.602,DOWN,0
2001-04-19,6.255,6.37,5.886,5.9965,5.6168,DOWN,0
2001-04-20,6.25,6.235,5.8899,6.1435,5.6283,DOWN,0
2001-04-23,6.2225,6.18,5.8933,6.2325,5.6387,DOWN,0
2001-04-24,6.15,6.1925,5.8966,6.2525,5.6477,UP,1
2001-04-25,6.45,6.1375,5.902,6.2655,5.6629,UP,1
2001-04-26,6.6375,6.4325,5.9083,6.342,5.6763,UP,1
2001-04-27,6.715,6.6425,5.9152,6.435,5.6928,UP,1
2001-04-30,6.7775,6.7425,5.9226,6.546,5.7083,DOWN,0
2001-05-01,6.75,6.7525,5.9301,6.666,5.7249,UP,1
2001-05-02,6.8075,6.71,5.9376,6.7375,5.7385,DOWN,0
2001-05-03,6.685,6.805,5.9427,6.747,5.7532,UP,1
2001-05-04,6.75,6.4975,5.9488,6.754,5.7732,DOWN,0
2001-05-07,6.6375,6.755,5.954,6.726,5.7897,UP,1
2001-05-08,6.7875,6.6375,5.9617,6.7335,5.8051,DOWN,0
2001-05-09,6.7375,6.7075,5.9659,6.7195,5.8208,DOWN,0
2001-05-10,6.615,6.8,5.9705,6.7055,5.8353,DOWN,0
2001-05-11,6.5775,6.6875,5.9733,6.671,5.8472,DOWN,0
2001-05-14,6.4925,6.535,5.9764,6.642,5.8571,UP,1
2001-05-15,6.86,6.595,5.9813,6.6565,5.8752,UP,1
2001-05-16,6.9525,6.6375,5.9858,6.6995,5.8939,UP,1
2001-05-17,7.04,6.915,5.9895,6.7845,5.9144,UP,1
2001-05-18,7.3625,7.0175,5.9956,6.9415,5.9467,UP,1
2001-05-21,7.4425,7.2,6.0012,7.1315,5.9824,UP,1
