ticker,APD US Equity,APD US Equity,APD US Equity,APD US Equity,APD US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2001-04-09,38.219,37.5811,33.6751,37.0375,36.5307,UP,1
2001-04-10,40.0033,38.8292,33.7319,37.9232,36.6455,DOWN,0
2001-04-11,39.3376,39.6612,33.7847,38.452,36.7289,DOWN,0
2001-04-12,39.3376,39.1065,33.828,38.8107,36.8173,UP,1
2001-04-16,39.7537,39.2914,33.8729,39.3302,36.9106,DOWN,0
2001-04-17,39.0973,39.0141,33.9173,39.5059,36.9905,UP,1
2001-04-18,40.6504,39.1065,33.9781,39.6353,37.0835,DOWN,0
2001-04-19,39.5595,40.3084,34.032,39.6797,37.1645,DOWN,0
2001-04-20,39.1065,39.5595,34.0822,39.6335,37.2298,DOWN,0
2001-04-23,39.0603,39.0141,34.1348,39.4948,37.2797,UP,1
2001-04-24,39.689,39.0603,34.1934,39.6131,37.3522,DOWN,0
2001-04-25,39.5225,39.0141,34.2527,39.3876,37.4217,UP,1
2001-04-26,40.0218,39.0603,34.3118,39.48,37.4922,UP,1
2001-04-27,40.1697,40.0772,34.3734,39.6927,37.5661,DOWN,0
2001-04-30,39.7444,39.8461,34.4294,39.8295,37.6223,DOWN,0
2001-05-01,39.578,39.2914,34.4819,39.8073,37.6869,UP,1
2001-05-02,39.6612,39.4856,34.5378,39.835,37.7357,DOWN,0
2001-05-03,39.2729,39.5688,34.5938,39.6853,37.8017,UP,1
2001-05-04,40.0125,39.0418,34.6555,39.6538,37.8864,DOWN,0
2001-05-07,39.5873,40.2437,34.7127,39.6224,37.9873,UP,1
2001-05-08,40.1789,39.5965,34.7683,39.7426,38.0729,UP,1
2001-05-09,40.4655,39.7537,34.8227,39.9034,38.155,UP,1
2001-05-10,41.1404,40.632,34.8776,40.2769,38.2281,DOWN,0
2001-05-11,40.7336,41.1497,34.9304,40.4212,38.3037,UP,1
2001-05-14,41.1867,40.7984,34.9841,40.741,38.3841,UP,1
2001-05-15,41.4825,41.0018,35.039,41.0018,38.4658,UP,1
2001-05-16,43.1743,41.464,35.1006,41.5435,38.5559,UP,1
2001-05-17,43.9232,43.1281,35.1659,42.1001,38.6485,DOWN,0
2001-05-18,42.5179,43.4517,35.2248,42.4569,38.7038,DOWN,0
2001-05-21,42.5179,42.6196,35.2802,42.7232,38.7637,UP,1
